ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1971-07-01,19022.2445,165.5990861842248,38272.07589857333,19022.2445,19022.2445,1497.9513211201504,1497.9513211201504,1497.9513211201504,1497.9513211201504,1497.9513211201504,1497.9513211201504,0.0,0.0,0.0,20520.195821120153
1971-10-01,20277.378731558994,4649.491642734516,41043.430097422926,20277.378731558994,20277.378731558994,2033.7413441784684,2033.7413441784684,2033.7413441784684,2033.7413441784684,2033.7413441784684,2033.7413441784684,0.0,0.0,0.0,22311.12007573746
1972-01-01,21532.51296311799,2370.3558573661185,41028.72698207805,21532.51296311799,21532.51296311799,154.16566272140827,154.16566272140827,154.16566272140827,154.16566272140827,154.16566272140827,154.16566272140827,0.0,0.0,0.0,21686.6786258394
1972-04-01,22774.004431290476,3259.245925219239,42680.548619273555,22774.004431290476,22774.004431290476,426.1587634534732,426.1587634534732,426.1587634534732,426.1587634534732,426.1587634534732,426.1587634534732,0.0,0.0,0.0,23200.16319474395
1972-07-01,24015.49589946296,5493.721008858286,43465.45987532026,24015.49589946296,24015.49589946296,134.00588320988854,134.00588320988854,134.00588320988854,134.00588320988854,134.00588320988854,134.00588320988854,0.0,0.0,0.0,24149.501782672847
1972-10-01,25270.630131021957,9754.348059467766,47222.31255064831,25270.630131021957,25270.630131021957,3407.6351032242796,3407.6351032242796,3407.6351032242796,3407.6351032242796,3407.6351032242796,3407.6351032242796,0.0,0.0,0.0,28678.265234246235
1973-01-01,26525.764362580954,9466.2199936925,48093.2933902288,26525.764362580954,26525.764362580954,2739.1567808474488,2739.1567808474488,2739.1567808474488,2739.1567808474488,2739.1567808474488,2739.1567808474488,0.0,0.0,0.0,29264.921143428404
1973-04-01,27753.613067366925,9447.438244806614,48707.502168049614,27753.613067366925,27753.613067366925,1118.8713161979022,1118.8713161979022,1118.8713161979022,1118.8713161979022,1118.8713161979022,1118.8713161979022,0.0,0.0,0.0,28872.484383564828
1973-07-01,28995.10455892693,9568.210272710232,47718.26378051858,28995.10455892693,28995.10455892693,585.0853769151962,585.0853769151962,585.0853769151962,585.0853769151962,585.0853769151962,585.0853769151962,0.0,0.0,0.0,29580.189935842125
1973-10-01,30250.23881413045,14211.770497533485,54241.15119282582,30250.23881413045,30250.23881413045,2952.986708164745,2952.986708164745,2952.986708164745,2952.986708164745,2952.986708164745,2952.986708164745,0.0,0.0,0.0,33203.22552229519
