ds,y
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.06192
2010-12-31,0.299999
2011-03-31,0.80098
2011-06-30,17.5
2011-09-30,5.35
2011-12-31,4.995
2012-03-31,4.95
2012-06-30,6.693
2012-09-30,12.47499
2012-12-31,13.59
2013-03-31,92.50001
2013-06-30,96.5
2013-09-30,125.8
2013-12-31,731.0
2014-03-31,457.0
2014-06-30,620.0
2014-09-30,382.67
2014-12-31,317.4
2015-03-31,242.92
2015-06-30,262.53
2015-09-30,237.91
2015-12-31,429.34
2016-03-31,416.94
2016-06-30,671.407925
2016-09-30,609.3962875
2016-12-31,959.879875
2017-03-31,1079.549314
2017-06-30,2477.641375
2017-09-30,4335.368317
2017-12-31,14165.575
2018-03-31,10125.01333
2018-06-30,6238.99
2018-09-30,6577.3
2018-12-31,3795.38
2019-03-31,4096.61
2019-06-30,12135.03
2019-09-30,8008.59
2019-12-31,7251.0
2020-03-31,6439.55
2020-06-30,9174.53
2020-09-30,10809.17
2020-12-31,29120.51
2021-03-31,47990.0
2022-12-31,16547.496094
2023-03-31,28478.484375
2023-06-30,30477.251953
2023-09-30,26967.916016
2023-12-31,43798.25
